country,total_cases,new_cases,total_deaths,new_deaths,excess_mortality,hosp_patients,weekly_hosp_admissions,icu_patients,weekly_icu_admissions,stringency_index,reproduction_rate,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,population,population_density,median_age,life_expectancy,gdp_per_capita,extreme_poverty,diabetes_prevalence,hospital_beds_per_thousand,human_development_index
Czechia,2989013.523890785,2737.137087599545,30781.795221843004,24.850398179749714,9.435023923444977,1411.5946782178219,1287.2793572311496,216.53321033210332,110.68232385661311,39.48719890510949,1.0417055609756098,25601244.952127658,72589.70478723405,10.319009312834886,110.00778901344874,14953890.627370156,6038577.596867271,5769813.843363562,3471829.7502061008,16530.565104166668,10673216.0,138.27768,42.64500000000001,77.7283,41052.348,0.059850585,7.099999999999999,6.62,0.895
Democratic Republic of Congo,66019.44141069397,57.43799772468714,1087.6302616609785,0.838452787258248,,,,,,37.43197080291971,0.8679116302186879,1008171.0,,6.280308841568627,45.88518766078431,2470676.066666667,2457434.5142857144,1668670.9402985075,0.0,42303.0,102396974.0,45.167503,15.766,59.193,1132.6542,78.94202,5.8,,0.481
Denmark,1978492.7275312855,1958.1820250284413,5347.649601820251,5.6422070534698525,2.698468899521531,351.6041666666667,440.849199663016,28.03402489626556,,35.377308394160586,1.0538791828793774,27482511.04088785,75525.59929906542,5.231637642648083,134.20658614117647,10614976.369863013,3925165.828767123,3748986.7397260275,2309080.7191780824,,5902898.0,147.57245,41.216,81.3753,59935.12,0.15367964,5.3,2.6,0.952
Djibouti,12029.760523321956,8.924914675767917,145.70591581342435,0.1075085324232082,,,,,,39.840583941605836,0.7120643643643644,292099.1304347826,616.5,0.7200568423809525,294.5775056730769,230266.79365079364,202404.04761904763,179178.0634920635,0.0,12179.0,1137100.0,49.055220000000006,24.085,62.3049,4989.4087,19.079206,7.4,1.4,0.515
Dominica,9181.170648464164,9.127986348122867,43.47952218430034,0.04209328782707622,,,,,,39.841094890510945,0.4246173553719008,194216.95652173914,504.0,10.139525006349206,19.395509360317458,46294.03921568627,24897.69,20628.11,1098.671875,802.125,66850.0,89.13333,35.295,72.814,11463.598,,11.7,3.8,0.7399999999999999
Dominican Republic,451056.146188851,376.05403868031857,3532.050625711035,2.4937428896473266,4.196739130434782,,,,,45.041660583941606,0.9788354965585053,1159906.9942418425,3612.1611374407585,16.253252113487243,10.765193142648846,12899321.143086817,6234693.589371981,5135339.514950166,1853520.8142589119,26176.098880597016,11230734.0,236.2823,27.317,72.6146,19338.016,0.7571755600000001,10.5,1.56,0.766
East Timor,15573.038680318543,13.34470989761092,89.19908987485779,0.07849829351535836,,,,,,36.23715328467153,0.8868152173913044,200291.97297297296,1017.1111111111111,6.761826805705883,144.55404747114756,1305921.6382978724,653720.1276595745,528823.7127659575,226145.9019607843,7881.0,1369299.0,92.08466,20.64,67.7369,3943.0925,24.443077,8.6,,0.566
Ecuador,694038.4152445961,614.9055207740466,27210.858361774743,20.50910125142207,26.040095693779904,,,,,47.739260948905105,0.9984314705882352,1261060.1564792176,3516.2906403940888,28.01042105695284,5.551155148548972,20983153.0,10127755.21858864,8535162.950086059,2627104.1086206897,65972.35818181818,17823900.0,71.76639,27.975000000000005,73.67,10859.218,3.7984307,4.4,1.3899999999999997,0.765
Egypt,364620.74459613196,293.528441410694,18202.270193401593,14.124004550625711,16.422083333333333,,,,,43.27303832116788,0.75713720703125,7016298.333333333,,19.652813570698115,829.6742804394545,52148354.61344538,29174795.068965517,20986879.3,7330326.2549019605,215749.9,112618251.0,113.133,23.813,70.2207,12780.760000000002,1.4670148000000003,20.9,1.43,0.7280000000000001
El Salvador,132768.80659840727,114.88054607508532,3077.3691695108078,2.4061433447098977,14.8325,,,,,41.40949817518248,0.623683867735471,813799.7389312977,2933.7786259541986,7.4115397585074625,18.3642241478226,5543477.1657754015,2902797.657608696,2519329.4176470586,951198.6756756756,53378.88172043011,6280316.0,303.10406,26.51,70.7479,9396.014,3.363398,6.3,1.2,0.674
Equatorial Guinea,12347.972696245733,9.805350028457598,141.46587030716722,0.10409556313993173,,,,,,,0.6543613428280773,254301.7435897436,1583.6363636363637,3.87960164759351,518.1462455573209,336032.125,193075.64556962025,139627.73333333334,3957.0,639.0,1803550.0,64.29768,21.016,60.5943,14918.297,,5.5,,0.65
Eritrea,6990.772468714448,5.795790671217293,65.60693970420932,0.05858930602957907,,,,,,61.98833029197081,0.7646237379162191,23693.0,,,,,,,,,3409452.0,28.167786,18.405,66.5358,,,6.5,0.7,0.49299999999999994
Estonia,367823.76905574516,348.38850967007966,1873.4050056882822,1.7053469852104663,7.4272248803827745,204.12113402061857,146.98918918918918,14.470967741935484,8.908108108108108,32.01828467153285,1.05949365234375,1374486.61971831,4038.990566037736,11.252045575638922,66.3933415737338,1725199.2260111023,755396.996034893,726795.2283901665,419187.24107850913,1780.738310090238,1350092.0,31.581099,41.625,77.1436,37711.82,0.30924036999999993,6.5,4.57,0.899
Eswatini,49834.34243458475,42.864618885096704,1016.6359499431172,0.8117178612059158,,,,,,48.58365875912409,0.897788024564995,531786.96,333.0,8.91785569117647,19.146951412745096,395354.6976744186,274021.6352941177,207101.41772151898,140134.29166666666,9230.416666666666,1218921.0,70.8675,21.768,57.0657,9058.583,36.07985,4.6,2.1,0.61
Ethiopia,352087.71046643914,285.1188850967008,5425.179180887372,4.308304891922639,,,,,,45.03737226277372,1.0317668351870577,1985332.9682539683,6289.7,8.289434899241877,50.80391464079422,7489198.744680851,6459856.315589353,26891584.0,1740369.6666666667,94846.15226337449,125384285.0,111.10000999999998,18.528,64.9748,2381.1658,26.984606,5.0,0.33,0.492
Fiji,44289.90329920364,39.30221969265794,564.5449374288964,0.5034129692832765,13.385416666666666,,,,,54.02374087591241,0.9581297077922077,125473.14604810996,844.7226890756302,7.027108190436052,222.24654154573082,1194728.142857143,599991.1634615385,523219.80412371136,156971.9818181818,28295.0,919428.0,50.324467,27.475,67.114,12388.108,1.3182689,17.7,2.0,0.729
Finland,820195.4334470989,853.0784982935154,5418.86803185438,6.522184300341297,7.346937799043062,379.490099009901,,25.85891089108911,,32.519306569343065,1.019348782862707,4744452.972781065,13063.775147928995,9.922303066682465,81.02402957156399,9878247.797814207,3647038.0636363635,3301322.6740740743,2392503.9037433155,28509.18181818182,5569299.0,18.323215,42.526,82.0381,49275.152,0.021342963,6.099999999999999,3.61,0.942
France,21930928.940841865,30610.274725274725,120388.18600682594,131.8563579277865,5.096698564593302,17463.67177637511,6643.2722323049,2046.5193868349866,996.2268602540835,42.27250912408759,1.0891567437379575,108493422.25684485,362756.1929595828,8.489970794516971,39.29872667454308,111230615.25566342,44813310.184665225,41014112.31209503,26221572.402807776,167019.0810810811,66277412.0,121.04203,41.567,82.49879999999999,45904.409999999996,0.056357384,5.3,5.91,0.91
Gabon,34528.50341296929,27.90443686006826,218.69965870307166,0.1746302616609784,,,,,,47.46268248175183,0.8080624242424242,1325475.2602739725,10442.888888888889,3.329253005526316,148.29569663372433,235256.17460317462,129139.0,105469.890625,2014.6470588235295,1486.0,2430752.0,9.433585,21.475,65.821,13939.787,2.468642,5.5,,0.6929999999999998
Gambia,9077.458475540387,7.1825938566552905,270.82252559726965,0.21160409556313994,,,,,,32.8836496350365,0.5552577008928571,113294.03896103895,,7.0259138025387005,127.42379067027865,341871.32558139536,197340.58536585365,191323.11363636365,23023.3,429.0,2636473.0,260.52106,17.985,62.083,2113.6147,17.242134,1.9,1.1,0.49499999999999994
Georgia,1140331.3185437997,1060.513651877133,11266.08646188851,9.755972696245733,14.913541666666667,,,,,43.51702554744526,0.8109500992063492,5650205.013544018,30818.29571106095,11.628852555353536,19.39125582121212,1660760.4097222222,935043.9581881533,722851.7062937063,80818.0,7427.658163265306,3794783.0,54.60905,36.634,71.694,17078.342,4.268949,5.7,2.89,0.814
Germany,20826163.851535834,29982.648985959437,116661.0085324232,136.48907956318251,6.479904306220096,,5549.383855024712,1771.2361809045226,979.9667149059335,44.04211678832117,1.0974322082931534,56176681.18644068,,15.255639485824176,38.69417348778999,131826121.8427371,52083905.352163464,47987975.156062424,33260378.186298076,231284.04452466907,84086228.0,240.66582,45.024,80.63010000000001,53969.625,0.24379632,6.900000000000001,8.0,0.9499999999999998
Ghana,125400.07622298066,97.95790671217293,1050.3219567690558,0.8316268486916951,,,,,,42.581414233576645,0.9508810276679842,918668.8809980806,3239.650366748166,6.530831759430304,42.515521017212116,9424478.220338983,6128628.274193549,4426868.372881356,1616958.0,45237.5,33149151.0,145.68942,20.736,63.7954,5480.329999999999,25.208553000000002,2.6,0.9,0.602
Greece,2936790.039249147,3258.1945392491466,23210.358361774743,22.54778156996587,7.888133971291865,,1453.4437869822484,,87.10552763819095,52.54457116788321,1.037345268292683,15107963.278592376,81342.3701842546,3.6873056502853747,62.677744601664685,17583262.28248114,6811096.872590109,6431206.233864208,4820981.869237217,19066.405668733394,10412481.0,80.779526,45.391,80.1106,31704.426000000003,0.56709486,6.400000000000001,4.2,0.8929999999999999
Grenada,11288.743458475541,11.20193401592719,147.9038680318544,0.1353811149032992,,,,,,,0.5574310901749663,156649.84,637.4,13.533143808767123,9.789146661111111,61341.58095238095,32297.152380952382,25886.92380952381,6582.782608695652,231.8,116928.0,343.90588,32.886,74.9362,14462.937,0.31790403,12.6,3.57,0.793
Guatemala,751486.8452787258,711.6784291405805,13871.969852104665,11.492036405005688,20.339617834394904,,,,,53.457545620437955,1.0630620862587763,1323064.0108108108,5496.993243243243,18.331371397785233,8.956681673907104,7831276.458937198,4231753.130434782,2843323.9323671497,2270234.470588235,41144.564024390245,17847877.0,166.55354,22.243999999999996,69.2368,9162.053,9.521302,13.1,0.44,0.629
Guinea,28466.116040955632,21.946530147895334,323.4249146757679,0.26621160409556316,,,,,,52.760620437956206,0.7352663010967099,683095.7857142857,,1.4079787068971963,189.83975970476192,2499199.643678161,1541692.9827586208,906028.124260355,168665.09523809524,21731.602739726026,14055137.0,57.19981,17.836,58.8922,2699.129,13.820100000000002,2.1,0.3,0.471
Guinea-Bissau,6543.468714448237,5.468714448236632,124.92605233219568,0.10068259385665529,,,,,,,0.5778510224948875,134547.91304347827,390.0,1.5693645774509803,87.44744268367347,415099.5254237288,380073.9310344828,174303.82142857142,12125.733333333334,1658.0,2105537.0,74.87685000000002,18.733,59.6523,1855.1119,25.962856,2.1,,0.48299999999999993
Guyana,46192.44880546075,42.37258248009101,864.0500568828214,0.7406143344709898,,,,,,52.199142335766425,1.0177662874870734,289503.0,,10.024260846285713,15.332793912207793,578270.5590551181,347100.23308270675,233518.625,52932.02127659575,4529.90625,821636.0,4.173919,25.303999999999995,65.6734,35634.688,,11.7,1.71,0.742
Haiti,24235.26848691695,19.656427758816836,616.4653014789534,0.4891922639362912,,,,,,44.14991788321168,0.9222637487126674,191747.0,299.0,7.670716918562874,43.67849156107785,196540.8620689655,141304.2528735632,86974.18604651163,,2438.4117647058824,11503604.0,417.4022,23.25,63.1924,2799.1125,57.87614,8.9,0.71,0.552
Honduras,331923.05119453924,269.00398179749715,8155.293515358362,6.321956769055745,,,,,,62.847700729927006,0.9228021803766104,,,,,7613653.354838709,3709945.095238095,3263549.726190476,1916674.8181818181,32718.0,10463881.0,93.519356,23.206,70.1229,5709.124,12.742991,5.1,0.64,0.624
Hungary,1400135.4402730376,1272.0244596131968,33720.25085324232,27.92491467576792,7.815358851674642,,70.85714285714286,,8.5,36.542892335766425,1.0798250737463126,3774509.573508006,15929.723435225618,11.614116705565328,53.07175046532664,5473546.18404908,4733470.965789474,4160230.1789473686,2890350.5025641024,65168.535433070865,9684306.0,106.11775000000002,42.993,74.5301,35356.777,0.40159559999999994,7.0,7.01,0.851
